Make,Model,Year,Engine Fuel Type,Transmission Type,MSRP
BMW,3 Series,2016,premium unleaded (required),AUTOMATIC,40350
BMW,3 Series,2016,premium unleaded (required),MANUAL,38350
BMW,3 Series,2016,premium unleaded (required),AUTOMATIC,42650
BMW,3 Series,2016,premium unleaded (required),AUTOMATIC,33150
BMW,3 Series,2016,premium unleaded (required),AUTOMATIC,35150
BMW,3 Series,2016,diesel,AUTOMATIC,44150
BMW,3 Series,2016,premium unleaded (required),AUTOMATIC,45800
BMW,3 Series,2017,premium unleaded (recommended),AUTOMATIC,38750
BMW,3 Series,2017,premium unleaded (recommended),AUTOMATIC,35450
BMW,3 Series,2017,premium unleaded (recommended),AUTOMATIC,33450
BMW,3 Series,2017,premium unleaded (recommended),AUTOMATIC,40750
BMW,3 Series,2017,diesel,AUTOMATIC,42250
BMW,3 Series,2017,premium unleaded (recommended),AUTOMATIC,42950
BMW,3 Series,2017,diesel,AUTOMATIC,40250
BMW,3 Series,2017,premium unleaded (recommended),AUTOMATIC,49900
BMW,3 Series,2017,premium unleaded (recommended),AUTOMATIC,47900
BMW,3 Series,2017,diesel,AUTOMATIC,44450
Mercedes-Benz,300-Class,1991,regular unleaded,AUTOMATIC,2232
Mercedes-Benz,300-Class,1991,regular unleaded,AUTOMATIC,2000
Mercedes-Benz,300-Class,1991,regular unleaded,AUTOMATIC,2000
Mercedes-Benz,300-Class,1991,regular unleaded,AUTOMATIC,2105
Mercedes-Benz,300-Class,1991,regular unleaded,AUTOMATIC,2199
Mercedes-Benz,300-Class,1991,regular unleaded,AUTOMATIC,2000
Mercedes-Benz,300-Class,1991,regular unleaded,AUTOMATIC,2124
Mercedes-Benz,300-Class,1991,regular unleaded,MANUAL,3552
Mercedes-Benz,300-Class,1991,regular unleaded,AUTOMATIC,2179
Mercedes-Benz,300-Class,1991,diesel,AUTOMATIC,2000
Mercedes-Benz,300-Class,1992,diesel,AUTOMATIC,2000
Mercedes-Benz,300-Class,1992,regular unleaded,AUTOMATIC,2377
Mercedes-Benz,300-Class,1992,regular unleaded,MANUAL,3814
Mercedes-Benz,300-Class,1992,regular unleaded,AUTOMATIC,2207
Mercedes-Benz,300-Class,1992,regular unleaded,AUTOMATIC,2000
Mercedes-Benz,300-Class,1992,regular unleaded,AUTOMATIC,2248
Mercedes-Benz,300-Class,1992,regular unleaded,AUTOMATIC,2065
Mercedes-Benz,300-Class,1992,diesel,AUTOMATIC,2547
Mercedes-Benz,300-Class,1992,regular unleaded,AUTOMATIC,2282
Mercedes-Benz,300-Class,1992,regular unleaded,AUTOMATIC,2000
Mercedes-Benz,300-Class,1993,regular unleaded,AUTOMATIC,2544
Mercedes-Benz,300-Class,1993,regular unleaded,AUTOMATIC,2397
Mercedes-Benz,300-Class,1993,diesel,AUTOMATIC,2000
Mercedes-Benz,300-Class,1993,regular unleaded,MANUAL,4174
Mercedes-Benz,300-Class,1993,regular unleaded,AUTOMATIC,2187
Mercedes-Benz,300-Class,1993,diesel,AUTOMATIC,2729
Mercedes-Benz,300-Class,1993,regular unleaded,AUTOMATIC,2433
Mercedes-Benz,300-Class,1993,regular unleaded,AUTOMATIC,2247
Mercedes-Benz,300-Class,1993,regular unleaded,AUTOMATIC,2540
Mitsubishi,3000GT,1997,regular unleaded,MANUAL,3941
Mitsubishi,3000GT,1997,regular unleaded,MANUAL,3295
Mitsubishi,3000GT,1997,regular unleaded,MANUAL,6008
Mitsubishi,3000GT,1998,regular unleaded,MANUAL,6710
Mitsubishi,3000GT,1998,regular unleaded,MANUAL,3701
Mitsubishi,3000GT,1998,regular unleaded,MANUAL,4671
Mitsubishi,3000GT,1999,regular unleaded,MANUAL,5306
Mitsubishi,3000GT,1999,regular unleaded,MANUAL,7600
Mitsubishi,3000GT,1999,regular unleaded,MANUAL,4090
Chrysler,300,2015,regular unleaded,AUTOMATIC,37570
Chrysler,300,2015,regular unleaded,AUTOMATIC,31695
Chrysler,300,2015,regular unleaded,AUTOMATIC,38070
Chrysler,300,2015,regular unleaded,AUTOMATIC,44895
Chrysler,300,2015,regular unleaded,AUTOMATIC,35070
Chrysler,300,2015,regular unleaded,AUTOMATIC,42395
Chrysler,300,2015,regular unleaded,AUTOMATIC,34195
Chrysler,300,2015,regular unleaded,AUTOMATIC,40570
Chrysler,300,2016,regular unleaded,AUTOMATIC,38095
Chrysler,300,2016,regular unleaded,AUTOMATIC,35595
Chrysler,300,2016,regular unleaded,AUTOMATIC,45190
Chrysler,300,2016,regular unleaded,AUTOMATIC,32260
Chrysler,300,2016,regular unleaded,AUTOMATIC,37755
Chrysler,300,2016,regular unleaded,AUTOMATIC,41055
Chrysler,300,2016,regular unleaded,AUTOMATIC,36090
Chrysler,300,2016,regular unleaded,AUTOMATIC,42690
Chrysler,300,2016,regular unleaded,AUTOMATIC,38555
Chrysler,300,2016,regular unleaded,AUTOMATIC,35255
Chrysler,300,2016,regular unleaded,AUTOMATIC,38590
Chrysler,300,2016,regular unleaded,AUTOMATIC,34760
Chrysler,300,2017,regular unleaded,AUTOMATIC,41135
Chrysler,300,2017,regular unleaded,AUTOMATIC,45270
Chrysler,300,2017,regular unleaded,AUTOMATIC,38670
Chrysler,300,2017,regular unleaded,AUTOMATIC,38635
Chrysler,300,2017,regular unleaded,AUTOMATIC,36170
Chrysler,300,2017,regular unleaded,AUTOMATIC,38175
Chrysler,300,2017,regular unleaded,AUTOMATIC,32340
Chrysler,300,2017,regular unleaded,AUTOMATIC,42770
Chrysler,300,2017,regular unleaded,AUTOMATIC,34840
Chrysler,300,2017,regular unleaded,AUTOMATIC,35675
Chrysler,300M,2002,premium unleaded (required),AUTOMATIC,32065
Chrysler,300M,2002,premium unleaded (required),AUTOMATIC,28540
Chrysler,300M,2003,premium unleaded (required),AUTOMATIC,32315
Chrysler,300M,2003,regular unleaded,AUTOMATIC,28885
Chrysler,300M,2004,regular unleaded,AUTOMATIC,29185
Chrysler,300M,2004,premium unleaded (required),AUTOMATIC,32615
Nissan,300ZX,1994,regular unleaded,MANUAL,2847
Nissan,300ZX,1994,regular unleaded,MANUAL,2488
Nissan,300ZX,1994,regular unleaded,MANUAL,2683
Nissan,300ZX,1994,regular unleaded,MANUAL,2553
Nissan,300ZX,1995,regular unleaded,MANUAL,3049
Nissan,300ZX,1995,regular unleaded,MANUAL,2774
Nissan,300ZX,1995,regular unleaded,MANUAL,2702
Nissan,300ZX,1995,regular unleaded,MANUAL,3101
Nissan,300ZX,1996,regular unleaded,MANUAL,3510
Nissan,300ZX,1996,regular unleaded,MANUAL,3107
Nissan,300ZX,1996,regular unleaded,MANUAL,3624
Nissan,300ZX,1996,regular unleaded,MANUAL,3185
Mazda,323,1992,regular unleaded,MANUAL,2000
Mazda,323,1992,regular unleaded,MANUAL,2000
Mazda,323,1993,regular unleaded,MANUAL,2000
Mazda,323,1993,regular unleaded,MANUAL,2000
Mazda,323,1994,regular unleaded,MANUAL,2000
Mercedes-Benz,350-Class,1990,diesel,AUTOMATIC,2144
Mercedes-Benz,350-Class,1990,diesel,AUTOMATIC,2098
Mercedes-Benz,350-Class,1991,diesel,AUTOMATIC,2178
Mercedes-Benz,350-Class,1991,diesel,AUTOMATIC,2311
Nissan,350Z,2007,regular unleaded,AUTOMATIC,36550
Nissan,350Z,2007,regular unleaded,AUTOMATIC,41250
Nissan,350Z,2007,regular unleaded,AUTOMATIC,30600
Nissan,350Z,2007,regular unleaded,AUTOMATIC,37100
Nissan,350Z,2007,regular unleaded,MANUAL,27900
Nissan,350Z,2007,regular unleaded,MANUAL,32700
Nissan,350Z,2007,regular unleaded,MANUAL,40250
Nissan,350Z,2007,regular unleaded,MANUAL,35550
Nissan,350Z,2007,regular unleaded,MANUAL,36100
Nissan,350Z,2007,regular unleaded,AUTOMATIC,33200
Nissan,350Z,2007,regular unleaded,MANUAL,37900
Nissan,350Z,2007,regular unleaded,MANUAL,29600
Nissan,350Z,2007,regular unleaded,MANUAL,38070
Nissan,350Z,2007,regular unleaded,AUTOMATIC,38900
Nissan,350Z,2008,regular unleaded,AUTOMATIC,33840
Nissan,350Z,2008,regular unleaded,MANUAL,38630
Nissan,350Z,2008,regular unleaded,AUTOMATIC,39630
Nissan,350Z,2008,regular unleaded,AUTOMATIC,37740
Nissan,350Z,2008,regular unleaded,AUTOMATIC,41980
Nissan,350Z,2008,regular unleaded,MANUAL,36280
Nissan,350Z,2008,regular unleaded,MANUAL,36740
Nissan,350Z,2008,regular unleaded,MANUAL,40980
Nissan,350Z,2008,regular unleaded,MANUAL,38680
Nissan,350Z,2008,regular unleaded,MANUAL,28510
Nissan,350Z,2008,regular unleaded,MANUAL,30210
Nissan,350Z,2008,regular unleaded,AUTOMATIC,31210
Nissan,350Z,2008,regular unleaded,MANUAL,33340
Nissan,350Z,2008,regular unleaded,AUTOMATIC,37280
Nissan,350Z,2009,regular unleaded,MANUAL,41570
Nissan,350Z,2009,regular unleaded,MANUAL,36870
Nissan,350Z,2009,regular unleaded,AUTOMATIC,42570
Nissan,350Z,2009,regular unleaded,AUTOMATIC,37870
Nissan,350Z,2009,regular unleaded,MANUAL,39220
Nissan,350Z,2009,regular unleaded,AUTOMATIC,40220
Ferrari,360,2002,premium unleaded (required),MANUAL,160829
Ferrari,360,2002,premium unleaded (required),MANUAL,140615
Ferrari,360,2002,premium unleaded (required),AUTOMATED_MANUAL,150694
Ferrari,360,2002,premium unleaded (required),AUTOMATED_MANUAL,170829
Ferrari,360,2003,premium unleaded (required),MANUAL,165986
Ferrari,360,2003,premium unleaded (required),AUTOMATED_MANUAL,154090
Ferrari,360,2003,premium unleaded (required),MANUAL,143860
Ferrari,360,2003,premium unleaded (required),AUTOMATED_MANUAL,176287
Ferrari,360,2004,premium unleaded (required),AUTOMATED_MANUAL,157767
Ferrari,360,2004,premium unleaded (required),AUTOMATED_MANUAL,187124
Ferrari,360,2004,premium unleaded (required),MANUAL,147332
Ferrari,360,2004,premium unleaded (required),MANUAL,169900
Ferrari,360,2004,premium unleaded (required),AUTOMATED_MANUAL,180408
Nissan,370Z,2015,premium unleaded (required),AUTOMATIC,46790
Nissan,370Z,2015,premium unleaded (required),MANUAL,48100
Nissan,370Z,2015,premium unleaded (required),MANUAL,29990
Nissan,370Z,2015,premium unleaded (required),AUTOMATIC,41820
Nissan,370Z,2015,premium unleaded (required),AUTOMATIC,31290
Nissan,370Z,2015,premium unleaded (required),AUTOMATIC,34870
Nissan,370Z,2015,premium unleaded (required),MANUAL,33570
Nissan,370Z,2015,premium unleaded (required),AUTOMATIC,46570
Nissan,370Z,2015,premium unleaded (required),MANUAL,37970
Nissan,370Z,2015,premium unleaded (required),MANUAL,37070
Nissan,370Z,2015,premium unleaded (required),AUTOMATIC,49400
Nissan,370Z,2015,premium unleaded (required),MANUAL,45270
Nissan,370Z,2015,premium unleaded (required),AUTOMATIC,39270
Nissan,370Z,2015,premium unleaded (required),MANUAL,45490
Nissan,370Z,2015,premium unleaded (required),MANUAL,41990
Nissan,370Z,2015,premium unleaded (required),AUTOMATIC,38370
Nissan,370Z,2015,premium unleaded (required),AUTOMATIC,43290
Nissan,370Z,2016,premium unleaded (required),AUTOMATIC,41820
Nissan,370Z,2016,premium unleaded (required),MANUAL,48100
Nissan,370Z,2016,premium unleaded (required),AUTOMATIC,43290
Nissan,370Z,2016,premium unleaded (required),AUTOMATIC,39270
Nissan,370Z,2016,premium unleaded (required),AUTOMATIC,34870
Nissan,370Z,2016,premium unleaded (required),MANUAL,41990
Nissan,370Z,2016,premium unleaded (required),AUTOMATIC,38370
Nissan,370Z,2016,premium unleaded (required),MANUAL,45270
Nissan,370Z,2016,premium unleaded (required),MANUAL,45490
Nissan,370Z,2016,premium unleaded (required),MANUAL,29990
Nissan,370Z,2016,premium unleaded (required),AUTOMATIC,46570
Nissan,370Z,2016,premium unleaded (required),AUTOMATIC,46790
Nissan,370Z,2016,premium unleaded (required),AUTOMATIC,49400
Nissan,370Z,2016,premium unleaded (required),MANUAL,37070
Nissan,370Z,2016,premium unleaded (required),AUTOMATIC,31290
Nissan,370Z,2016,premium unleaded (required),MANUAL,37970
Nissan,370Z,2016,premium unleaded (required),MANUAL,33570
Nissan,370Z,2017,premium unleaded (required),MANUAL,37970
Nissan,370Z,2017,premium unleaded (required),AUTOMATIC,38370
Nissan,370Z,2017,premium unleaded (required),AUTOMATIC,34870
Nissan,370Z,2017,premium unleaded (required),MANUAL,29990
Nissan,370Z,2017,premium unleaded (required),MANUAL,45490
Nissan,370Z,2017,premium unleaded (required),MANUAL,41990
Nissan,370Z,2017,premium unleaded (required),MANUAL,45270
Nissan,370Z,2017,premium unleaded (required),MANUAL,33570
Nissan,370Z,2017,premium unleaded (required),MANUAL,48100
Nissan,370Z,2017,premium unleaded (required),AUTOMATIC,39270
Nissan,370Z,2017,premium unleaded (required),AUTOMATIC,46570
Nissan,370Z,2017,premium unleaded (required),AUTOMATIC,49400
Nissan,370Z,2017,premium unleaded (required),MANUAL,37070
Nissan,370Z,2017,premium unleaded (required),AUTOMATIC,41820
Nissan,370Z,2017,premium unleaded (required),AUTOMATIC,46790
Nissan,370Z,2017,premium unleaded (required),AUTOMATIC,43290
Nissan,370Z,2017,premium unleaded (required),AUTOMATIC,31290
Mazda,3,2015,regular unleaded,MANUAL,25045
Mazda,3,2015,regular unleaded,AUTOMATIC,26095
Mazda,3,2015,regular unleaded,AUTOMATIC,23795
Mazda,3,2015,regular unleaded,MANUAL,19595
Mazda,3,2015,regular unleaded,MANUAL,18445
Mazda,3,2015,regular unleaded,MANUAL,23845
Mazda,3,2015,regular unleaded,AUTOMATIC,25395
Mazda,3,2015,regular unleaded,AUTOMATIC,24895
Mazda,3,2015,regular unleaded,MANUAL,25545
Mazda,3,2015,regular unleaded,AUTOMATIC,24295
Mazda,3,2015,regular unleaded,AUTOMATIC,19495
Mazda,3,2015,regular unleaded,MANUAL,20095
Mazda,3,2015,regular unleaded,AUTOMATIC,19995
Mazda,3,2015,regular unleaded,AUTOMATIC,21145
Mazda,3,2015,regular unleaded,MANUAL,23245
Mazda,3,2015,regular unleaded,MANUAL,16945
Mazda,3,2015,regular unleaded,MANUAL,24345
Mazda,3,2015,regular unleaded,AUTOMATIC,20645
Mazda,3,2015,regular unleaded,MANUAL,18945
Mazda,3,2015,regular unleaded,AUTOMATIC,26595
Mazda,3,2015,regular unleaded,MANUAL,22745
Mazda,3,2015,regular unleaded,AUTOMATIC,17995
Mazda,3,2016,regular unleaded,MANUAL,22545
Mazda,3,2016,regular unleaded,AUTOMATIC,21095
Mazda,3,2016,regular unleaded,AUTOMATIC,25495
Mazda,3,2016,regular unleaded,MANUAL,20745
Mazda,3,2016,regular unleaded,AUTOMATIC,24295
Mazda,3,2016,regular unleaded,AUTOMATIC,23595
Mazda,3,2016,regular unleaded,AUTOMATIC,21795
Mazda,3,2016,regular unleaded,MANUAL,17845
Mazda,3,2016,regular unleaded,AUTOMATIC,26495
Mazda,3,2016,regular unleaded,MANUAL,24745
Mazda,3,2016,regular unleaded,AUTOMATIC,18895
Mazda,3,2016,regular unleaded,AUTOMATIC,19595
Mazda,3,2016,regular unleaded,MANUAL,23245
Mazda,3,2016,regular unleaded,MANUAL,18545
Mazda,3,2016,regular unleaded,AUTOMATIC,25795
Mazda,3,2016,regular unleaded,MANUAL,20045
Mazda,3,2016,regular unleaded,MANUAL,25445
Mazda,3,2016,regular unleaded,AUTOMATIC,24795
Mazda,3,2017,regular unleaded,AUTOMATIC,21495
Mazda,3,2017,regular unleaded,MANUAL,17845
Mazda,3,2017,regular unleaded,MANUAL,23145
Mazda,3,2017,regular unleaded,AUTOMATIC,24195
Mazda,3,2017,regular unleaded,AUTOMATIC,20145
Mazda,3,2017,regular unleaded,AUTOMATIC,24945
Mazda,3,2017,regular unleaded,MANUAL,23895
Mazda,3,2017,regular unleaded,MANUAL,19095
Mazda,3,2017,regular unleaded,AUTOMATIC,23445
Mazda,3,2017,regular unleaded,AUTOMATIC,18895
Mazda,3,2017,regular unleaded,AUTOMATIC,22245
Mazda,3,2017,regular unleaded,MANUAL,22395
Mazda,3,2017,regular unleaded,MANUAL,20445
BMW,4 Series Gran Coupe,2015,premium unleaded (required),AUTOMATIC,42300
BMW,4 Series Gran Coupe,2015,premium unleaded (required),AUTOMATIC,40300
BMW,4 Series Gran Coupe,2015,premium unleaded (required),AUTOMATIC,40300
BMW,4 Series Gran Coupe,2015,premium unleaded (required),AUTOMATIC,42300
BMW,4 Series Gran Coupe,2015,premium unleaded (required),AUTOMATIC,45800
BMW,4 Series Gran Coupe,2015,premium unleaded (required),AUTOMATIC,47800
BMW,4 Series Gran Coupe,2016,premium unleaded (required),AUTOMATIC,43650
BMW,4 Series Gran Coupe,2016,premium unleaded (required),AUTOMATIC,49950
BMW,4 Series Gran Coupe,2016,premium unleaded (required),AUTOMATIC,47950
BMW,4 Series Gran Coupe,2016,premium unleaded (required),AUTOMATIC,41650
BMW,4 Series Gran Coupe,2017,premium unleaded (recommended),AUTOMATIC,48300
BMW,4 Series Gran Coupe,2017,premium unleaded (recommended),AUTOMATIC,50300
BMW,4 Series Gran Coupe,2017,premium unleaded (recommended),AUTOMATIC,43950
BMW,4 Series Gran Coupe,2017,premium unleaded (recommended),AUTOMATIC,41950
BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,56900
BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,46250
BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,50750
BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,42750
BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,48750
BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,48250
BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,42750
BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,50750
BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,40750
BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,54900
BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,48750
BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,40750
BMW,4 Series,2016,premium unleaded (required),AUTOMATIC,52000
BMW,4 Series,2016,premium unleaded (required),AUTOMATIC,50000
BMW,4 Series,2016,premium unleaded (required),MANUAL,41850
BMW,4 Series,2016,premium unleaded (required),AUTOMATIC,50150
BMW,4 Series,2016,premium unleaded (required),AUTOMATIC,41850
BMW,4 Series,2016,premium unleaded (required),AUTOMATIC,58950
BMW,4 Series,2016,premium unleaded (required),AUTOMATIC,43850
