Make,Model,Year,Engine Fuel Type,Engine HP,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Style,MSRP
Acura,RDX,2017,premium unleaded (recommended),279,AUTOMATIC,front wheel drive,4,4dr SUV,35570
Acura,RL,2010,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,Sedan,54250
Acura,RL,2010,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,Sedan,50450
Acura,RL,2010,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,Sedan,50450
Acura,RL,2010,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,Sedan,46830
Acura,RL,2011,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,Sedan,51350
Acura,RL,2011,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,Sedan,51350
Acura,RL,2011,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,Sedan,55150
Acura,RL,2011,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,Sedan,47200
Acura,RL,2012,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,Sedan,48200
Acura,RL,2012,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,Sedan,52350
Acura,RL,2012,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,Sedan,56150
Acura,RL,2012,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,Sedan,52350
Acura,RLX,2015,premium unleaded (recommended),310,AUTOMATIC,front wheel drive,4,Sedan,50950
Acura,RLX,2015,premium unleaded (recommended),310,AUTOMATIC,front wheel drive,4,Sedan,60450
Acura,RLX,2015,premium unleaded (recommended),310,AUTOMATIC,front wheel drive,4,Sedan,48450
Acura,RLX,2015,premium unleaded (recommended),310,AUTOMATIC,front wheel drive,4,Sedan,54450
Acura,RLX,2015,premium unleaded (recommended),310,AUTOMATIC,front wheel drive,4,Sedan,56950
Acura,RLX,2016,premium unleaded (recommended),310,AUTOMATIC,front wheel drive,4,Sedan,54450
Acura,RLX,2016,premium unleaded (recommended),377,AUTOMATED_MANUAL,all wheel drive,4,Sedan,59950
Acura,RLX,2016,premium unleaded (recommended),310,AUTOMATIC,front wheel drive,4,Sedan,60450
Acura,RLX,2016,premium unleaded (recommended),377,AUTOMATED_MANUAL,all wheel drive,4,Sedan,65950
Acura,RLX,2016,premium unleaded (recommended),310,AUTOMATIC,front wheel drive,4,Sedan,50950
Acura,RLX,2017,premium unleaded (recommended),310,AUTOMATIC,front wheel drive,4,Sedan,54450
Acura,RLX,2017,premium unleaded (recommended),310,AUTOMATIC,front wheel drive,4,Sedan,60450
Acura,RSX,2004,regular unleaded,160,MANUAL,front wheel drive,2,2dr Hatchback,21100
Acura,RSX,2004,regular unleaded,160,MANUAL,front wheel drive,2,2dr Hatchback,20025
Acura,RSX,2004,regular unleaded,160,AUTOMATIC,front wheel drive,2,2dr Hatchback,22000
Acura,RSX,2004,regular unleaded,160,AUTOMATIC,front wheel drive,2,2dr Hatchback,20925
Acura,RSX,2004,premium unleaded (required),200,MANUAL,front wheel drive,2,2dr Hatchback,23320
Acura,RSX,2005,regular unleaded,160,MANUAL,front wheel drive,2,2dr Hatchback,20275
Acura,RSX,2005,regular unleaded,160,AUTOMATIC,front wheel drive,2,2dr Hatchback,22250
Acura,RSX,2005,regular unleaded,160,AUTOMATIC,front wheel drive,2,2dr Hatchback,21175
Acura,RSX,2005,regular unleaded,160,MANUAL,front wheel drive,2,2dr Hatchback,21350
Acura,RSX,2005,premium unleaded (required),210,MANUAL,front wheel drive,2,2dr Hatchback,23670
Acura,RSX,2006,regular unleaded,155,MANUAL,front wheel drive,2,2dr Hatchback,20325
Acura,RSX,2006,regular unleaded,155,MANUAL,front wheel drive,2,2dr Hatchback,21475
Acura,RSX,2006,premium unleaded (required),201,MANUAL,front wheel drive,2,2dr Hatchback,23845
Acura,RSX,2006,regular unleaded,155,AUTOMATIC,front wheel drive,2,2dr Hatchback,21225
Acura,RSX,2006,regular unleaded,155,AUTOMATIC,front wheel drive,2,2dr Hatchback,22375
Acura,SLX,1997,regular unleaded,190,AUTOMATIC,four wheel drive,4,4dr SUV,2397
Acura,SLX,1997,regular unleaded,190,AUTOMATIC,four wheel drive,4,4dr SUV,2488
Acura,SLX,1998,regular unleaded,215,AUTOMATIC,four wheel drive,4,4dr SUV,2816
Acura,SLX,1999,regular unleaded,215,AUTOMATIC,four wheel drive,4,4dr SUV,2934
Acura,TL,2012,premium unleaded (required),305,AUTOMATIC,all wheel drive,4,Sedan,42985
Acura,TL,2012,premium unleaded (required),280,AUTOMATIC,front wheel drive,4,Sedan,41635
Acura,TL,2012,premium unleaded (required),305,AUTOMATIC,all wheel drive,4,Sedan,39255
Acura,TL,2012,premium unleaded (required),305,AUTOMATIC,all wheel drive,4,Sedan,45185
Acura,TL,2012,premium unleaded (required),280,AUTOMATIC,front wheel drive,4,Sedan,35705
Acura,TL,2012,premium unleaded (required),305,MANUAL,all wheel drive,4,Sedan,42985
Acura,TL,2012,premium unleaded (required),280,AUTOMATIC,front wheel drive,4,Sedan,39435
Acura,TL,2013,premium unleaded (recommended),280,AUTOMATIC,front wheel drive,4,Sedan,39635
Acura,TL,2013,premium unleaded (recommended),305,AUTOMATIC,all wheel drive,4,Sedan,45385
Acura,TL,2013,premium unleaded (recommended),305,AUTOMATIC,all wheel drive,4,Sedan,39455
Acura,TL,2013,premium unleaded (recommended),305,MANUAL,all wheel drive,4,Sedan,43185
Acura,TL,2013,premium unleaded (recommended),280,AUTOMATIC,front wheel drive,4,Sedan,41835
Acura,TL,2013,premium unleaded (recommended),305,AUTOMATIC,all wheel drive,4,Sedan,43185
Acura,TL,2013,premium unleaded (recommended),280,AUTOMATIC,front wheel drive,4,Sedan,35905
Acura,TL,2013,premium unleaded (recommended),280,AUTOMATIC,front wheel drive,4,Sedan,37405
Acura,TL,2014,premium unleaded (recommended),280,AUTOMATIC,front wheel drive,4,Sedan,37530
Acura,TL,2014,premium unleaded (recommended),280,AUTOMATIC,front wheel drive,4,Sedan,36030
Acura,TL,2014,premium unleaded (recommended),305,MANUAL,all wheel drive,4,Sedan,43310
Acura,TL,2014,premium unleaded (recommended),305,AUTOMATIC,all wheel drive,4,Sedan,39580
Acura,TL,2014,premium unleaded (recommended),280,AUTOMATIC,front wheel drive,4,Sedan,39760
Acura,TL,2014,premium unleaded (recommended),305,AUTOMATIC,all wheel drive,4,Sedan,45510
Acura,TL,2014,premium unleaded (recommended),305,AUTOMATIC,all wheel drive,4,Sedan,43310
Acura,TL,2014,premium unleaded (recommended),280,AUTOMATIC,front wheel drive,4,Sedan,41960
Acura,TLX,2015,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,Sedan,41575
Acura,TLX,2015,premium unleaded (recommended),206,AUTOMATED_MANUAL,front wheel drive,4,Sedan,35500
Acura,TLX,2015,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,Sedan,42600
Acura,TLX,2015,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,Sedan,39375
Acura,TLX,2015,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,Sedan,44800
Acura,TLX,2015,premium unleaded (recommended),206,AUTOMATED_MANUAL,front wheel drive,4,Sedan,31445
Acura,TLX,2015,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,Sedan,35320
Acura,TLX,2016,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,Sedan,41575
Acura,TLX,2016,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,Sedan,35320
Acura,TLX,2016,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,Sedan,42600
Acura,TLX,2016,premium unleaded (recommended),206,AUTOMATED_MANUAL,front wheel drive,4,Sedan,35750
Acura,TLX,2016,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,Sedan,44800
Acura,TLX,2016,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,Sedan,39375
Acura,TLX,2016,premium unleaded (recommended),206,AUTOMATED_MANUAL,front wheel drive,4,Sedan,31695
Acura,TLX,2017,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,Sedan,42600
Acura,TLX,2017,premium unleaded (recommended),206,AUTOMATED_MANUAL,front wheel drive,4,Sedan,35950
Acura,TLX,2017,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,Sedan,44800
Acura,TLX,2017,premium unleaded (recommended),206,AUTOMATED_MANUAL,front wheel drive,4,Sedan,31900
Acura,TLX,2017,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,Sedan,41600
Acura,TLX,2017,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,Sedan,39400
Acura,TLX,2017,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,Sedan,35350
Acura,TSX,2012,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Sedan,30010
Acura,TSX,2012,premium unleaded (required),280,AUTOMATIC,front wheel drive,4,Sedan,35550
Acura,TSX,2012,premium unleaded (required),280,AUTOMATIC,front wheel drive,4,Sedan,38650
Acura,TSX,2012,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Sedan,33110
Acura,TSX,2012,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Sedan,31010
Acura,TSX,2012,premium unleaded (recommended),201,MANUAL,front wheel drive,4,Sedan,31010
Acura,TSX,2013,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Sedan,30510
Acura,TSX,2013,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Sedan,31510
Acura,TSX,2013,premium unleaded (recommended),201,MANUAL,front wheel drive,4,Sedan,31510
Acura,TSX,2013,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Sedan,33610
Acura,TSX,2013,premium unleaded (recommended),280,AUTOMATIC,front wheel drive,4,Sedan,39150
Acura,TSX,2014,premium unleaded (recommended),201,MANUAL,front wheel drive,4,Sedan,31635
Acura,TSX,2014,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Sedan,30635
Acura,TSX,2014,premium unleaded (recommended),280,AUTOMATIC,front wheel drive,4,Sedan,39275
Acura,TSX,2014,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Sedan,33735
Acura,TSX,2014,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Sedan,31635
Acura,TSX Sport Wagon,2012,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Wagon,35010
Acura,TSX Sport Wagon,2012,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Wagon,31360
Acura,TSX Sport Wagon,2013,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Wagon,35510
Acura,TSX Sport Wagon,2013,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Wagon,31860
Acura,TSX Sport Wagon,2014,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Wagon,35635
Acura,TSX Sport Wagon,2014,premium unleaded (recommended),201,AUTOMATIC,front wheel drive,4,Wagon,31985
Acura,Vigor,1992,regular unleaded,176,MANUAL,front wheel drive,4,Sedan,2000
Acura,Vigor,1992,regular unleaded,176,MANUAL,front wheel drive,4,Sedan,2000
Acura,Vigor,1993,regular unleaded,176,MANUAL,front wheel drive,4,Sedan,2000
Acura,Vigor,1993,regular unleaded,176,MANUAL,front wheel drive,4,Sedan,2000
Acura,Vigor,1994,regular unleaded,176,MANUAL,front wheel drive,4,Sedan,2000
Acura,Vigor,1994,regular unleaded,176,MANUAL,front wheel drive,4,Sedan,2000
Acura,ZDX,2011,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,4dr Hatchback,46020
Acura,ZDX,2011,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,4dr Hatchback,56570
Acura,ZDX,2011,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,4dr Hatchback,50520
Acura,ZDX,2012,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,4dr Hatchback,46120
Acura,ZDX,2012,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,4dr Hatchback,56670
Acura,ZDX,2012,premium unleaded (required),300,AUTOMATIC,all wheel drive,4,4dr Hatchback,50620
Acura,ZDX,2013,premium unleaded (recommended),300,AUTOMATIC,all wheel drive,4,4dr Hatchback,50920
Alfa Romeo,4C,2015,premium unleaded (required),237,AUTOMATED_MANUAL,rear wheel drive,2,Convertible,63900
Alfa Romeo,4C,2015,premium unleaded (required),237,AUTOMATED_MANUAL,rear wheel drive,2,Coupe,68400
Alfa Romeo,4C,2015,premium unleaded (required),237,AUTOMATED_MANUAL,rear wheel drive,2,Coupe,53900
Alfa Romeo,4C,2016,premium unleaded (required),237,AUTOMATED_MANUAL,rear wheel drive,2,Coupe,55900
Alfa Romeo,4C,2016,premium unleaded (required),237,AUTOMATED_MANUAL,rear wheel drive,2,Convertible,65900
Aston Martin,DB7,2003,premium unleaded (required),420,AUTOMATIC,rear wheel drive,2,Coupe,156300
Aston Martin,DB7,2003,premium unleaded (required),420,MANUAL,rear wheel drive,2,Convertible,151800
Aston Martin,DB7,2003,premium unleaded (required),435,MANUAL,rear wheel drive,2,Coupe,156300
Aston Martin,DB7,2003,premium unleaded (required),420,MANUAL,rear wheel drive,2,Coupe,141800
Aston Martin,DB9,2013,premium unleaded (required),510,AUTOMATIC,rear wheel drive,2,Convertible,198700
Aston Martin,DB9,2013,premium unleaded (required),510,AUTOMATIC,rear wheel drive,2,Coupe,183700
Aston Martin,DB9,2014,premium unleaded (required),510,AUTOMATIC,rear wheel drive,2,Convertible,200800
Aston Martin,DB9,2014,premium unleaded (required),510,AUTOMATIC,rear wheel drive,2,Coupe,185800
Aston Martin,DB9,2015,premium unleaded (required),510,AUTOMATIC,rear wheel drive,2,Coupe,198295
Aston Martin,DB9,2015,premium unleaded (required),510,AUTOMATIC,rear wheel drive,2,Coupe,188295
Aston Martin,DB9,2015,premium unleaded (required),510,AUTOMATIC,rear wheel drive,2,Convertible,203295
Aston Martin,DB9,2015,premium unleaded (required),510,AUTOMATIC,rear wheel drive,2,Convertible,213295
Aston Martin,DB9 GT,2016,premium unleaded (required),540,AUTOMATIC,rear wheel drive,2,Coupe,235307
Aston Martin,DB9 GT,2016,premium unleaded (required),540,AUTOMATIC,rear wheel drive,2,Convertible,213250
Aston Martin,DB9 GT,2016,premium unleaded (required),540,AUTOMATIC,rear wheel drive,2,Coupe,198250
Aston Martin,DBS,2010,premium unleaded (required),510,AUTOMATIC,rear wheel drive,2,Convertible,283900
Aston Martin,DBS,2010,premium unleaded (required),510,MANUAL,rear wheel drive,2,Convertible,279500
Aston Martin,DBS,2010,premium unleaded (required),510,AUTOMATIC,rear wheel drive,2,Coupe,270400
Aston Martin,DBS,2010,premium unleaded (required),510,MANUAL,rear wheel drive,2,Coupe,266000
Aston Martin,DBS,2011,premium unleaded (required),510,MANUAL,rear wheel drive,2,Convertible,282295
Aston Martin,DBS,2011,premium unleaded (required),510,MANUAL,rear wheel drive,2,Coupe,268660
