Make,Model,Year,MSRP
Aston Martin,DBS,2010,283900
Aston Martin,DBS,2010,279500
Aston Martin,DBS,2010,270400
Aston Martin,DBS,2010,266000
Aston Martin,DBS,2011,282295
Aston Martin,DBS,2011,268660
Aston Martin,DBS,2011,273104
Aston Martin,DBS,2011,286739
Aston Martin,DBS,2012,295987
Aston Martin,DBS,2012,275861
Aston Martin,DBS,2012,284576
Aston Martin,DBS,2012,296387
Aston Martin,DBS,2012,290461
Aston Martin,DBS,2012,284976
Aston Martin,DBS,2012,290861
Aston Martin,DBS,2012,275461
Aston Martin,Rapide,2010,197850
Aston Martin,Rapide,2011,207895
Aston Martin,Rapide,2012,226850
Aston Martin,Rapide,2012,207895
Aston Martin,Rapide S,2014,198250
Aston Martin,Rapide S,2015,203995
Aston Martin,Rapide S,2016,206000
Aston Martin,V12 Vanquish,2004,234260
Aston Martin,V12 Vanquish,2005,234260
Aston Martin,V12 Vanquish,2005,255000
Aston Martin,V12 Vanquish,2006,260000
Aston Martin,V12 Vantage,2011,191995
Aston Martin,V12 Vantage,2011,180535
Aston Martin,V12 Vantage,2012,180535
Aston Martin,V12 Vantage,2012,195895
Aston Martin,V12 Vantage,2012,180535
Aston Martin,V12 Vantage,2012,195895
Aston Martin,V12 Vantage S,2015,182395
Aston Martin,V12 Vantage S,2016,198195
Aston Martin,V12 Vantage S,2016,183695
Aston Martin,V8 Vantage,2014,145200
Aston Martin,V8 Vantage,2014,131200
Aston Martin,V8 Vantage,2014,130700
Aston Martin,V8 Vantage,2014,122400
Aston Martin,V8 Vantage,2014,116700
Aston Martin,V8 Vantage,2014,136900
Aston Martin,V8 Vantage,2014,136400
Aston Martin,V8 Vantage,2014,150900
Aston Martin,V8 Vantage,2015,147495
Aston Martin,V8 Vantage,2015,132995
Aston Martin,V8 Vantage,2015,98200
Aston Martin,V8 Vantage,2015,117995
Aston Martin,V8 Vantage,2015,103900
Aston Martin,V8 Vantage,2015,153195
Aston Martin,V8 Vantage,2015,138695
Aston Martin,V8 Vantage,2015,112700
Aston Martin,V8 Vantage,2015,123695
Aston Martin,V8 Vantage,2015,138195
Aston Martin,V8 Vantage,2015,118400
Aston Martin,V8 Vantage,2015,132495
Aston Martin,V8 Vantage,2016,148795
Aston Martin,V8 Vantage,2016,134295
Aston Martin,V8 Vantage,2016,103300
Aston Martin,V8 Vantage,2016,126995
Aston Martin,V8 Vantage,2016,117800
Aston Martin,V8 Vantage,2016,141495
Aston Martin,V8 Vantage,2016,135795
Aston Martin,V8 Vantage,2016,154495
Aston Martin,V8 Vantage,2016,139995
Aston Martin,V8 Vantage,2016,109000
Aston Martin,V8 Vantage,2016,121295
Aston Martin,V8 Vantage,2016,123500
Aston Martin,Vanquish,2014,296295
Aston Martin,Vanquish,2014,278295
Aston Martin,Vanquish,2015,301695
Aston Martin,Vanquish,2015,283695
Aston Martin,Vanquish,2016,287650
Aston Martin,Vanquish,2016,305650
Aston Martin,Vanquish,2016,302695
Aston Martin,Vanquish,2016,320695
Aston Martin,Virage,2012,208295
Aston Martin,Virage,2012,223295
Audi,100,1992,2000
Audi,100,1992,2000
Audi,100,1992,2000
Audi,100,1992,2000
Audi,100,1992,2000
Audi,100,1993,2000
Audi,100,1993,2000
Audi,100,1993,2000
Audi,100,1993,2000
Audi,100,1993,2000
Audi,100,1994,2000
Audi,100,1994,2000
Audi,100,1994,2000
Audi,100,1994,2000
Audi,100,1994,2000
Audi,200,1990,2000
Audi,200,1990,2000
Audi,200,1990,2000
Audi,200,1991,2000
Audi,200,1991,2000
Audi,200,1991,2000
Audi,80,1990,2000
Audi,80,1990,2000
Audi,80,1991,2000
Audi,80,1991,2000
Audi,80,1992,2000
Audi,80,1992,2000
Audi,90,1993,2000
Audi,90,1993,2000
Audi,90,1993,2000
Audi,90,1994,2000
Audi,90,1994,2000
Audi,90,1994,2000
Audi,90,1995,2000
Audi,90,1995,2000
Audi,90,1995,2000
Audi,A3,2015,35150
Audi,A3,2015,32600
Audi,A3,2015,33200
Audi,A3,2015,44050
Audi,A3,2015,29900
Audi,A3,2015,41650
Audi,A3,2015,38150
Audi,A3,2015,35750
Audi,A3,2015,41050
Audi,A3,2015,47050
Audi,A3,2015,38350
Audi,A3,2015,35600
Audi,A3,2015,38600
Audi,A3,2015,41150
Audi,A3,2015,32450
Audi,A3,2016,34200
Audi,A3,2016,39600
Audi,A3,2016,37700
Audi,A3,2016,33200
Audi,A3,2016,43050
Audi,A3,2016,39300
Audi,A3,2016,36600
Audi,A3,2016,39750
Audi,A3,2016,45450
Audi,A3,2016,48450
Audi,A3,2016,36700
Audi,A3,2016,34400
Audi,A3,2016,35900
Audi,A3,2016,43100
Audi,A3,2016,36900
Audi,A3,2016,33600
Audi,A3,2016,30900
Audi,A3,2016,40100
Audi,A3,2016,42300
Audi,A3,2016,42050
Audi,A3,2017,43150
Audi,A3,2017,40150
Audi,A3,2017,37450
Audi,A3,2017,37600
Audi,A3,2017,34450
Audi,A3,2017,40300
Audi,A3,2017,49250
Audi,A3,2017,43550
Audi,A3,2017,31200
Audi,A3,2017,40850
Audi,A3,2017,46550
Audi,A3,2017,34200
Audi,A4,2015,45000
Audi,A4,2015,39700
Audi,A4,2015,43800
Audi,A4,2015,35500
Audi,A4,2015,38500
Audi,A4,2015,37600
Audi,A4,2015,36400
Audi,A4,2015,42900
Audi,A4,2015,37600
Audi,A4,2016,37000
Audi,A4,2016,38000
Audi,A4,2016,38000
Audi,A4,2016,35900
Audi,A4,2016,40100
Audi,A4,2016,39100
Audi,A4,2017,37300
Audi,A4,2017,34900
Audi,A4,2017,48000
Audi,A4,2017,43200
Audi,A4,2017,41100
Audi,A4,2017,45900
Audi,A4,2017,39400
Audi,A4,2017,38700
Audi,A4,2017,37850
Audi,A4,2017,42350
Audi,A4 allroad,2017,51400
Audi,A4 allroad,2017,44000
Audi,A4 allroad,2017,47000
Audi,A5,2016,43800
Audi,A5,2016,41500
Audi,A5,2016,47900
Audi,A5,2016,50200
Audi,A5,2016,40500
Audi,A5,2016,42800
Audi,A5,2017,41200
Audi,A5,2017,48600
Audi,A5,2017,42200
Audi,A6,2015,58700
Audi,A6,2015,50450
Audi,A6,2015,44800
Audi,A6,2015,60100
Audi,A6,2015,48350
Audi,A6,2015,56300
Audi,A6,2015,46900
Audi,A6,2015,62500
Audi,A6,2016,52100
Audi,A6,2016,49900
Audi,A6,2016,46200
Audi,A6,2016,59500
Audi,A6,2016,61600
Audi,A6,2016,57400
Audi,A6,2016,63700
Audi,A6,2016,48400
Audi,A6,2017,53800
Audi,A6,2017,61600
Audi,A6,2017,67600
Audi,A6,2017,58600
Audi,A6,2017,49800
Audi,A6,2017,51600
Audi,A6,2017,47600
Audi,A7,2015,65900
Audi,A7,2015,69750
Audi,A7,2015,68300
Audi,A7,2015,72150
Audi,A7,2016,70400
Audi,A7,2016,68300
Audi,A7,2016,73050
Audi,A7,2016,70950
Audi,A7,2017,68800
Audi,A7,2017,71350
Audi,A8,2016,85200
Audi,A8,2016,137900
Audi,A8,2016,90500
Audi,A8,2016,81500
Audi,A8,2017,91500
Audi,A8,2017,82500
Audi,Cabriolet,1996,2631
Audi,Cabriolet,1997,2837
Audi,Cabriolet,1998,3137
Audi,Coupe,1990,2000
Audi,Coupe,1991,2000
Audi,Q3,2015,32500
Audi,Q3,2015,36400
Audi,Q3,2015,38500
Audi,Q3,2015,34600
Audi,Q3,2016,38600
Audi,Q3,2016,40700
Audi,Q3,2016,33700
Audi,Q3,2016,35800
Audi,Q3,2017,34500
Audi,Q3,2017,41300
Audi,Q3,2017,36600
Audi,Q3,2017,33900
Audi,Q3,2017,31800
Audi,Q3,2017,39200
Audi,Q5,2015,52900
Audi,Q5,2015,47500
Audi,Q5,2015,51900
Audi,Q5,2015,42200
Audi,Q5,2015,39300
Audi,Q5,2015,55000
Audi,Q5,2015,45400
Audi,Q5,2016,53500
Audi,Q5,2016,40900
Audi,Q5,2016,42750
Audi,Q5,2016,52500
Audi,Q5,2016,46000
Audi,Q5,2016,48100
Audi,Q5,2016,57700
Audi,Q5,2016,50200
Audi,Q5,2016,55600
Audi,Q5,2017,53200
Audi,Q5,2017,40900
Audi,Q5,2017,46400
Audi,Q5,2017,43150
Audi,Q7,2014,64900
Audi,Q7,2014,52900
Audi,Q7,2014,60900
Audi,Q7,2014,47700
Audi,Q7,2014,53700
Audi,Q7,2014,58900
Audi,Q7,2015,61900
Audi,Q7,2015,53400
Audi,Q7,2015,59900
Audi,Q7,2015,54800
Audi,Q7,2015,48300
Audi,Q7,2015,65400
Audi,Q7,2017,58800
Audi,Q7,2017,64300
Audi,Q7,2017,54800
Audi,R8,2014,164700
Audi,R8,2014,128400
Audi,R8,2014,179645
Audi,R8,2014,173800
Audi,R8,2014,137500
Audi,R8,2014,151200
Audi,R8,2014,124000
Audi,R8,2014,114900
Audi,R8,2014,160300
Audi,R8,2014,170545
Audi,R8,2015,199600
Audi,R8,2015,138400
Audi,R8,2015,124900
Audi,R8,2015,166100
Audi,R8,2015,199900
Audi,R8,2015,182500
Audi,R8,2015,162900
Audi,R8,2015,115900
Audi,R8,2015,129400
Audi,R8,2015,190600
Audi,R8,2015,153900
Audi,R8,2015,175100
Audi,R8,2015,173500
Audi,R8,2017,162900
Audi,R8,2017,189900
Audi,RS 4,2007,66000
Audi,RS 4,2008,81900
Audi,RS 4,2008,66910
Audi,RS 5,2013,77900
Audi,RS 5,2013,68900
Audi,RS 5,2014,69600
Audi,RS 5,2014,77900
Audi,RS 5,2015,79200
Audi,RS 5,2015,70900
Audi,RS 6,2003,82700
Audi,RS 7,2015,106500
Audi,RS 7,2016,108900
Audi,RS 7,2017,110700
Audi,S3,2015,41100
Audi,S3,2015,47000
Audi,S3,2016,42500
Audi,S3,2016,48650
Audi,S3,2017,48400
Audi,S3,2017,42900
Audi,S4,2014,49500
Audi,S4,2014,54000
Audi,S4,2014,48100
Audi,S4,2014,55400
Audi,S4,2015,48400
Audi,S4,2015,54300
Audi,S4,2015,55700
Audi,S4,2015,49800
Audi,S4,2016,56100
Audi,S4,2016,55100
Audi,S4,2016,50200
Audi,S4,2016,49200
Audi,S5,2016,67350
Audi,S5,2016,59350
Audi,S5,2016,61100
Audi,S5,2016,54100
Audi,S5,2016,60350
Audi,S5,2016,53100
Audi,S5,2017,53100
Audi,S5,2017,61100
Audi,S5,2017,54100
Audi,S6,2015,75500
Audi,S6,2016,70900
Audi,S6,2016,75300
Audi,S6,2017,74100
Audi,S6,2017,70900
Audi,S7,2015,82500
Audi,S7,2016,82900
Audi,S7,2017,82900
Audi,S7,2017,79900
Audi,S8,2015,114900
Audi,S8,2016,114900
Audi,S8,2016,114900
Audi,S8,2017,115900
Audi,SQ5,2015,52700
Audi,SQ5,2015,60200
Audi,SQ5,2016,53300
Audi,SQ5,2016,60800
Audi,SQ5,2017,60800
Audi,SQ5,2017,53300
Audi,TT,2015,43350
Audi,TT,2015,40350
Audi,TT,2016,42900
Audi,TT,2016,46400
Audi,TT,2017,47000
Audi,TT,2017,43500
Audi,TT RS,2012,56850
Audi,TT RS,2013,57200
Audi,TTS,2015,51700
Audi,TTS,2015,48700
Audi,TTS,2016,51900
Audi,TTS,2017,52500
Audi,V8,1992,2000
Audi,V8,1993,2149
Audi,V8,1994,2239
Audi,allroad,2014,40700
Audi,allroad,2014,43300
Audi,allroad,2014,49200
Audi,allroad,2015,44500
Audi,allroad,2015,42400
Audi,allroad,2015,49800
Audi,allroad,2016,42700
Audi,allroad,2016,44800
Audi,allroad quattro,2003,39950
Audi,allroad quattro,2003,41000
Audi,allroad quattro,2004,46950
Audi,allroad quattro,2004,39950
Audi,allroad quattro,2004,39950
Audi,allroad quattro,2005,40250
Audi,allroad quattro,2005,47250
Audi,allroad quattro,2005,40250
BMW,1 Series,2011,40650
BMW,1 Series,2011,36350
BMW,1 Series,2011,29450
BMW,1 Series,2011,34500
BMW,1 Series,2012,31200
BMW,1 Series,2012,44100
BMW,1 Series,2012,39300
BMW,1 Series,2012,36900
BMW,1 Series,2013,37200
BMW,1 Series,2013,39600
BMW,1 Series,2013,31500
BMW,1 Series,2013,44400
BMW,1 Series,2013,37200
BMW,1 Series,2013,31500
BMW,1 Series,2013,48250
BMW,1 Series,2013,43550
BMW,1 Series M,2011,46135
BMW,2 Series,2016,32850
BMW,2 Series,2016,38650
BMW,2 Series,2016,48750
BMW,2 Series,2016,34850
BMW,2 Series,2016,40650
BMW,2 Series,2016,44150
BMW,2 Series,2016,32850
BMW,2 Series,2016,46150
BMW,2 Series,2016,50750
BMW,2 Series,2017,46450
BMW,2 Series,2017,49050
BMW,2 Series,2017,51050
BMW,2 Series,2017,44450
BMW,2 Series,2017,38950
BMW,2 Series,2017,33150
BMW,2 Series,2017,35150
BMW,2 Series,2017,40950
BMW,3 Series,2015,41950
BMW,3 Series,2015,50150
BMW,3 Series,2015,37500
BMW,3 Series,2015,43750
BMW,3 Series,2015,39000
BMW,3 Series,2015,39500
BMW,3 Series,2015,39500
BMW,3 Series,2015,34950
BMW,3 Series,2015,45750
BMW,3 Series,2015,43450
BMW,3 Series,2015,37500
BMW,3 Series,2015,41000
BMW,3 Series,2015,32950
BMW,3 Series,2016,41850
BMW,3 Series,2016,47800
BMW,3 Series,2016,39850
BMW,3 Series,2016,38350
BMW,3 Series,2016,40350
BMW,3 Series,2016,38350
BMW,3 Series,2016,42650
BMW,3 Series,2016,33150
BMW,3 Series,2016,35150
BMW,3 Series,2016,44150
BMW,3 Series,2016,45800
BMW,3 Series,2017,38750
BMW,3 Series,2017,35450
BMW,3 Series,2017,33450
BMW,3 Series,2017,40750
BMW,3 Series,2017,42250
BMW,3 Series,2017,42950
BMW,3 Series,2017,40250
BMW,3 Series,2017,49900
BMW,3 Series,2017,47900
BMW,3 Series,2017,44450
BMW,3 Series Gran Turismo,2015,47250
BMW,3 Series Gran Turismo,2015,41850
BMW,3 Series Gran Turismo,2015,41850
BMW,3 Series Gran Turismo,2016,43000
BMW,3 Series Gran Turismo,2016,49200
BMW,3 Series Gran Turismo,2017,49650
BMW,3 Series Gran Turismo,2017,43950
BMW,4 Series,2015,56900
BMW,4 Series,2015,46250
BMW,4 Series,2015,50750
BMW,4 Series,2015,42750
BMW,4 Series,2015,48750
BMW,4 Series,2015,48250
BMW,4 Series,2015,42750
BMW,4 Series,2015,50750
BMW,4 Series,2015,40750
BMW,4 Series,2015,54900
BMW,4 Series,2015,48750
BMW,4 Series,2015,40750
BMW,4 Series,2016,52000
BMW,4 Series,2016,50000
BMW,4 Series,2016,41850
BMW,4 Series,2016,50150
BMW,4 Series,2016,41850
BMW,4 Series,2016,58950
BMW,4 Series,2016,43850
BMW,4 Series,2016,48150
BMW,4 Series,2016,56950
BMW,4 Series,2017,50300
BMW,4 Series,2017,52300
BMW,4 Series,2017,50500
BMW,4 Series,2017,44150
BMW,4 Series,2017,42150
BMW,4 Series,2017,59300
BMW,4 Series,2017,57300
BMW,4 Series,2017,48500
BMW,4 Series Gran Coupe,2015,42300
BMW,4 Series Gran Coupe,2015,40300
BMW,4 Series Gran Coupe,2015,40300
BMW,4 Series Gran Coupe,2015,42300
BMW,4 Series Gran Coupe,2015,45800
BMW,4 Series Gran Coupe,2015,47800
BMW,4 Series Gran Coupe,2016,43650
BMW,4 Series Gran Coupe,2016,49950
BMW,4 Series Gran Coupe,2016,47950
BMW,4 Series Gran Coupe,2016,41650
BMW,4 Series Gran Coupe,2017,48300
BMW,4 Series Gran Coupe,2017,50300
BMW,4 Series Gran Coupe,2017,43950
BMW,4 Series Gran Coupe,2017,41950
BMW,5 Series,2015,67200
BMW,5 Series,2015,57900
BMW,5 Series,2015,57100
BMW,5 Series,2015,52250
BMW,5 Series,2015,59400
BMW,5 Series,2015,64900
BMW,5 Series,2015,49950
BMW,5 Series,2015,55600
BMW,5 Series,2016,57350
BMW,5 Series,2016,58150
BMW,5 Series,2016,55850
BMW,5 Series,2016,52500
BMW,5 Series,2016,50200
BMW,5 Series,2016,68600
BMW,5 Series,2016,66300
BMW,5 Series,2016,59650
BMW,5 Series Gran Turismo,2015,60700
BMW,5 Series Gran Turismo,2015,71400
BMW,5 Series Gran Turismo,2015,63000
BMW,5 Series Gran Turismo,2015,69100
BMW,5 Series Gran Turismo,2016,63200
BMW,5 Series Gran Turismo,2016,72500
BMW,5 Series Gran Turismo,2016,60900
BMW,5 Series Gran Turismo,2017,63200
BMW,5 Series Gran Turismo,2017,60900
BMW,5 Series Gran Turismo,2017,72500
BMW,6 Series,2015,94900
BMW,6 Series,2015,86600
BMW,6 Series,2015,79100
BMW,6 Series,2015,76100
BMW,6 Series,2015,90400
BMW,6 Series,2015,83600
BMW,6 Series,2015,87400
BMW,6 Series,2015,97900
BMW,6 Series,2016,87800
BMW,6 Series,2016,77300
BMW,6 Series,2016,99200
BMW,6 Series,2016,96200
BMW,6 Series,2016,80300
BMW,6 Series,2016,84800
BMW,6 Series,2016,91700
BMW,6 Series,2016,88700
BMW,6 Series,2017,92000
BMW,6 Series,2017,77600
BMW,6 Series,2017,89000
BMW,6 Series,2017,80600
BMW,6 Series,2017,85100
BMW,6 Series,2017,88100
BMW,6 Series,2017,96500
BMW,6 Series,2017,99500
BMW,6 Series Gran Coupe,2015,92600
BMW,6 Series Gran Coupe,2015,81300
BMW,6 Series Gran Coupe,2015,78300
BMW,6 Series Gran Coupe,2015,89600
BMW,6 Series Gran Coupe,2016,93900
BMW,6 Series Gran Coupe,2016,82500
BMW,6 Series Gran Coupe,2016,90900
BMW,6 Series Gran Coupe,2016,79500
BMW,6 Series Gran Coupe,2017,91200
BMW,6 Series Gran Coupe,2017,82800
BMW,6 Series Gran Coupe,2017,94200
BMW,6 Series Gran Coupe,2017,79800
BMW,7 Series,2015,141200
BMW,7 Series,2015,78000
BMW,7 Series,2015,91000
BMW,7 Series,2015,94000
BMW,7 Series,2015,81000
BMW,7 Series,2015,74000
BMW,7 Series,2015,87300
BMW,7 Series,2015,90300
BMW,7 Series,2015,82500
BMW,7 Series,2016,94400
BMW,7 Series,2016,81300
BMW,7 Series,2016,97400
BMW,7 Series,2017,94600
BMW,7 Series,2017,97600
BMW,7 Series,2017,84500
BMW,7 Series,2017,81500
BMW,8 Series,1995,4784
BMW,8 Series,1995,5858
BMW,8 Series,1995,8488
BMW,8 Series,1996,6954
BMW,8 Series,1996,5680
BMW,8 Series,1997,7624
BMW,8 Series,1997,6693
BMW,ALPINA B6 Gran Coupe,2015,117300
BMW,ALPINA B6 Gran Coupe,2016,122200
BMW,ALPINA B6 Gran Coupe,2017,122500
BMW,ALPINA B7,2014,135200
BMW,ALPINA B7,2014,132200
BMW,ALPINA B7,2014,131300
BMW,ALPINA B7,2014,128300
BMW,ALPINA B7,2015,132200
BMW,ALPINA B7,2015,131300
BMW,ALPINA B7,2015,135200
BMW,ALPINA B7,2015,128300
BMW,ALPINA B7,2017,137000
BMW,ActiveHybrid 5,2014,61400
BMW,ActiveHybrid 5,2015,61900
BMW,ActiveHybrid 5,2016,62100
BMW,ActiveHybrid 7,2013,84300
BMW,ActiveHybrid 7,2014,84300
BMW,ActiveHybrid 7,2015,84300
BMW,ActiveHybrid X6,2010,88900
BMW,ActiveHybrid X6,2011,88900
BMW,Alpina,2003,136900
BMW,M,2001,44990
BMW,M,2001,45990
BMW,M,2002,44990
BMW,M,2006,49300
BMW,M,2006,51300
BMW,M2,2016,51700
BMW,M2,2017,51700
BMW,M3,2015,62000
BMW,M3,2016,63500
BMW,M3,2017,64000
BMW,M4,2015,64200
BMW,M4,2015,72500
BMW,M4,2016,74200
BMW,M4,2016,65700
BMW,M4,2017,74700
BMW,M4,2017,66200
BMW,M4 GTS,2016,133205
BMW,M5,2014,92900
BMW,M5,2015,93600
BMW,M5,2016,94100
BMW,M6,2015,118200
BMW,M6,2015,111900
BMW,M6,2016,119700
BMW,M6,2016,113400
BMW,M6,2017,113700
BMW,M6,2017,120000
BMW,M6 Gran Coupe,2015,115700
